alias	donor_layer	donor_name	donor_epoch	rationale
abiword	kde-classic	kword	KDE-Classic	Modern word processor represented by KDE's period office writer.
accessories-calculator	classic-silver	kcalc	1998-02-23	Direct KDE calculator identity.
accessories-character-map	kde-classic	kcharselect	KDE-Classic	Direct KDE character selector identity.
accessories-text-editor	classic-silver	text-editor	1998-02-23	Classic Silver text-editor compatibility name.
application-pdf	kde-classic	kghostview	KDE-Classic	KDE's period PostScript and PDF document viewer.
applications-engineering	classic-silver	hammer	1998-02-23	Classic Silver engineering and build-tool symbol.
applications-painting	classic-silver	paint	1998-02-23	Classic Silver painting application symbol.
applications-science	classic-silver	fractal	1998-02-23	Classic Silver scientific and mathematical symbol.
archive-manager	classic-silver	utilities-file-archiver	1998-02-23	Classic Silver archive utility compatibility name.
audio-card	classic-silver	syssound	1998-02-23	Direct KDE sound-system identity.
bovo	kde-classic	kwin4	KDE-Classic	Modern line-forming board game represented by KDE's period four-in-row game.
com.visualstudio.code	kde-classic	kdevelop	KDE-Classic	Modern development environment represented by KDevelop.
computer	classic-silver	kfm	1997-10-16	My Computer opens the desktop file-management shell; use the earliest KFM cabinet.
control-center2	classic-silver	kcontrol	1998-02-23	Direct KDE Control Center identity.
eom	kde-classic	kview	KDE-Classic	Modern image viewer represented by KDE's period KView.
firefox	chicago95	firefox	Chicago95 low-colour retrofit	Firefox retains its own low-colour Windows 95 identity.
firefox-desktop	chicago95	firefox	Chicago95 low-colour retrofit	Firefox desktop launcher retains its own low-colour Windows 95 identity.
firefox_2	chicago95	firefox	Chicago95 low-colour retrofit	Firefox menu alias retains its own low-colour Windows 95 identity.
gnome-applications	classic-silver	k	1998-02-23	Programs shell represented by the Classic Silver KDE mark.
gnumeric	kde-classic	kspread	KDE-Classic	Modern spreadsheet represented by KDE's period spreadsheet.
inbox	classic-silver	mail	1998-02-23	Inbox represented by Classic Silver mail.
inkscape	kde-classic	karbon	KDE-Classic	Modern vector editor represented by KDE's vector editor.
internet-web-browser	classic-silver	mini.netscape	1997-09-12	Generic Internet shortcut uses KDE's earliest low-colour Navigator N.
kajongg	kde-classic	kmahjongg	KDE-Classic	Modern Kajongg represented by KDE's period Mahjongg game.
katomic	kde-classic	katomic	KDE-Classic	Generate missing panel sizes from the native KDE KAtomic artwork.
kblocks	kde-classic	ksirtet	KDE-Classic	Modern falling-block game represented by KDE's period KSirtet.
kbreakout	kde-classic	kbounce	KDE-Classic	Modern bouncing-ball arcade game represented by KDE's period KBounce.
kfourinline	kde-classic	kwin4	KDE-Classic	KFourInLine's period KDE predecessor was KWin4.
kigo	kde-classic	go	KDE-Classic	Direct Go board-game identity.
libreoffice-base	kde-classic	access	KDE-Classic	Modern database component represented by the period database application.
libreoffice-calc	kde-classic	kspread	KDE-Classic	Modern spreadsheet represented by KDE's period spreadsheet.
libreoffice-draw	kde-classic	karbon	KDE-Classic	Modern drawing component represented by KDE's vector editor.
libreoffice-impress	kde-classic	kpresenter	KDE-Classic	Modern presentation component represented by KPresenter.
libreoffice-math	kde-classic	kformula	KDE-Classic	Modern formula component represented by KFormula.
libreoffice-startcenter	classic-silver	kdelogo	1998-02-23	Office-suite launcher represented by the Classic Silver KDE suite mark.
libreoffice-writer	kde-classic	kword	KDE-Classic	Modern word processor represented by KDE's period office writer.
lskat	kde-classic	lskat	KDE-Classic	Generate the missing 16px view from native KDE LSkat artwork.
lxfind	classic-silver	kfind	1998-02-23	Direct KDE Find identity.
notepad	classic-silver	kedit	1998-02-23	Notepad role represented by KEdit.
package-x-generic	kde-classic	kpackage	KDE-Classic	Generic package represented by KDE's package manager.
palemoon	classic-silver	mini.netscape	1997-09-12	Pale Moon follows the Netscape Navigator lineage with KDE's low-colour N.
postscript-viewer	classic-silver	gv	1998-02-23	Direct Classic Silver document-viewer identity.
preferences-desktop-screensaver	classic-silver	kscreensaver	1998-02-23	Direct KDE screensaver identity.
preferences-desktop-theme	classic-silver	style	1998-02-23	Direct KDE style configuration identity.
redstone-control-panel	classic-silver	kcontrol	1998-02-23	Control Panel role represented by KDE Control Center.
redstone-system	classic-silver	system-package	1998-02-23	System tools represented by Classic Silver system packages.
seamonkey	beos-r5	netscape-communicator	Netscape Communicator 4.x	SeaMonkey follows the Communicator suite lineage, not Navigator alone.
smplayer	kde-classic	noatun	KDE-Classic	Modern media player represented by KDE's period Noatun player.
system-shut-down	classic-silver	system-log-out	1998-02-23	Classic Silver session-exit identity.
utilities-system-monitor	classic-silver	processor	1998-02-23	System monitor represented by Classic Silver processor status.
video-display	classic-silver	display	1998-02-23	Direct Classic Silver display identity.
web-browser	classic-silver	mini.netscape	1997-09-12	Quick-launch browser uses KDE's earliest low-colour Navigator N.
x-office-calendar	classic-silver	plan	1998-02-23	Calendar and planning role represented by KDE Plan.
